run,dynamics_field,seed,cell,policy,success_rate,n_episodes,total_gene_actions,n_actions_replogle_essential,n_actions_replogle_only_essential,n_actions_depmap_essential,n_actions_non_essential,frac_actions_replogle_essential,frac_actions_replogle_only_essential,frac_actions_depmap_essential,frac_actions_non_essential,expected_random_frac_replogle_essential,expected_random_frac_replogle_only_essential,enrichment_replogle_essential_vs_random,enrichment_replogle_only_vs_random,unique_genes_selected
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,greedy_dyn_2_fused,0.9,200,529,7,7,10,512,0.013232514177693762,0.013232514177693762,0.01890359168241966,0.9678638941398866,0.05714285714285714,0.0380952380952381,0.23156899810964082,0.34735349716446123,56
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,greedy_dyn_3_fused,0.935,200,545,5,5,1,539,0.009174311926605505,0.009174311926605505,0.001834862385321101,0.9889908256880734,0.05714285714285714,0.0380952380952381,0.16055045871559634,0.2408256880733945,53
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,random_uniform_valid,0.08,200,581,29,20,28,533,0.04991394148020654,0.03442340791738382,0.04819277108433735,0.9173838209982789,0.05714285714285714,0.0380952380952381,0.8734939759036144,0.9036144578313251,105
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin6-8_splitood,always_noop,0.0,200,0,0,0,0,0,,,,,,,,,0
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,PPO_BCD,0.84,200,600,32,32,0,568,0.05333333333333334,0.05333333333333334,0.0,0.9466666666666667,0.05714285714285714,0.0380952380952381,0.9333333333333335,1.4,11
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,greedy_dyn_1_fused,0.705,200,600,0,0,0,600,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,15
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,greedy_dyn_2_fused,0.705,200,600,0,0,0,600,0.0,0.0,0.0,1.0,0.05714285714285714,0.0380952380952381,0.0,0.0,18
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,greedy_dyn_3_fused,0.765,200,600,23,23,0,577,0.03833333333333333,0.03833333333333333,0.0,0.9616666666666667,0.05714285714285714,0.0380952380952381,0.6708333333333333,1.0062499999999999,16
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,random_uniform_valid,0.02,200,591,27,17,31,543,0.04568527918781726,0.028764805414551606,0.05245346869712352,0.9187817258883249,0.05714285714285714,0.0380952380952381,0.799492385786802,0.7550761421319796,105
v2_aggressive_champion_seed42,v2_aggressive,42,k3_bin8-10_splitood,always_noop,0.0,200,0,0,0,0,0,,,,,,,,,0
v2_aggressive_champion_seed42,v2_aggressive,42,k4_bin6-8_splitood,PPO_BCD,0.96,200,603,1,1,0,602,0.001658374792703151,0.001658374792703151,0.0,0.9983416252072969,0.05714285714285714,0.0380952380952381,0.029021558872305144,0.04353233830845771,22
