seed,cell,policy,k,epsilon_label,success_rate,mean_steps,mean_final_distance,mean_total_reward,frac_success_T_le_3,frac_success_T_4_or_5,frac_success_T_gt_5,mean_tox_path,mean_common_essential_per_ep,fraction_zero_common_essential,mean_unc_path_max,mean_unc_path_mean
0,k8_bin8-10_splitood,greedy_dyn_5_fused,8,p15,1.0,2.305,2.5730757550398864,0.9786908064600081,1.0,0.0,0.0,0.0,0.0,1.0,0.42618387079983605,0.37092609045635994
1,k2_bin6-8_splitood,PPO_BCD,2,p15,0.815,2.0,2.7139452766899597,0.7970258594929596,1.0,0.0,0.0,0.0,0.0,1.0,0.3594828101408091,0.33537332341024123
1,k2_bin6-8_splitood,random_uniform_valid,2,p15,0.13,1.975,3.9268568041779264,0.10549645193937185,1.0,0.0,0.0,0.02492818981409073,0.075,0.925,0.3652145815843815,0.33889359742336267
1,k2_bin6-8_splitood,always_noop,2,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k2_bin6-8_splitood,greedy_dyn_1_fused,2,p15,0.905,1.995,2.5290405770233777,0.8840346941136166,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.3398629540217918
1,k2_bin6-8_splitood,greedy_dyn_2_fused,2,p15,0.91,2.0,2.561264371581456,0.8917253217823995,1.0,0.0,0.0,0.0,0.0,1.0,0.3654935643520081,0.3401948502547701
1,k2_bin8-10_splitood,PPO_BCD,2,p15,0.705,2.0,3.076521769944884,0.6845472245904495,1.0,0.0,0.0,0.0,0.0,1.0,0.40905550819101266,0.37554287462736097
1,k2_bin8-10_splitood,random_uniform_valid,2,p15,0.06,1.975,4.165549651460674,0.032895833585004926,1.0,0.0,0.0,0.026395772714167834,0.07,0.93,0.41929178287156604,0.38521415881034315
1,k2_bin8-10_splitood,always_noop,2,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k2_bin8-10_splitood,greedy_dyn_1_fused,2,p15,0.705,2.0,2.8721213261532537,0.6840773143950648,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.38180041497123
1,k2_bin8-10_splitood,greedy_dyn_2_fused,2,p15,0.695,2.0,2.916626142109791,0.6740391635872437,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3794241496625308
1,k3_bin6-8_splitood,PPO_BCD,3,p15,1.0,2.185,2.544558469298254,0.9820258594929595,1.0,0.0,0.0,0.0,0.0,1.0,0.3594828101408091,0.3309419700493539
1,k3_bin6-8_splitood,random_uniform_valid,3,p15,0.335,2.825,3.484776809615448,0.3068257608452991,1.0,0.0,0.0,0.0357265483122319,0.125,0.88,0.36703168646955453,0.3293138384240259
1,k3_bin6-8_splitood,always_noop,3,p15,0.0,0.0,6.644456075832363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k3_bin6-8_splitood,greedy_dyn_1_fused,3,p15,1.0,2.09,2.4318646387367364,0.9790346941136167,1.0,0.0,0.0,0.0030193094071000815,0.045,0.955,0.36826749891346744,0.33755856632468734
1,k3_bin6-8_splitood,greedy_dyn_2_fused,3,p15,1.0,2.09,2.474180102533397,0.9817240755266073,1.0,0.0,0.0,0.0,0.0,1.0,0.365518489467853,0.3385438581038486
1,k3_bin6-8_splitood,greedy_dyn_3_fused,3,p15,1.0,2.145,2.4824396110348,0.9816290157257551,1.0,0.0,0.0,0.0,0.0,1.0,0.36741968548489834,0.3371077547653143
1,k3_bin8-10_splitood,PPO_BCD,3,p15,1.0,2.295,2.689109748896737,0.9795472245904494,1.0,0.0,0.0,0.0,0.0,1.0,0.40905550819101266,0.36641624355749414
1,k3_bin8-10_splitood,random_uniform_valid,3,p15,0.29,2.92,3.5526682130117084,0.2569216750114134,1.0,0.0,0.0,0.041122040916234254,0.16,0.855,0.4193224179392635,0.3615176032629694
1,k3_bin8-10_splitood,always_noop,3,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k3_bin8-10_splitood,greedy_dyn_1_fused,3,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
1,k3_bin8-10_splitood,greedy_dyn_2_fused,3,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
1,k3_bin8-10_splitood,greedy_dyn_3_fused,3,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
1,k4_bin8-10_splitood,PPO_BCD,4,p15,1.0,2.295,2.689109748896737,0.9795472245904494,1.0,0.0,0.0,0.0,0.0,1.0,0.40905550819101266,0.36641624355749414
1,k4_bin8-10_splitood,random_uniform_valid,4,p15,0.465,3.575,3.3600415600967177,0.4159889242752904,0.6236559139784946,0.3763440860215054,0.0,0.058982552345842126,0.17,0.84,0.42025640980250856,0.3548179624775885
1,k4_bin8-10_splitood,always_noop,4,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k4_bin8-10_splitood,greedy_dyn_1_fused,4,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
1,k4_bin8-10_splitood,greedy_dyn_2_fused,4,p15,1.0,2.305,2.5325161647514487,0.9790391635872436,1.0,0.0,0.0,0.0,0.0,1.0,0.41921672825512474,0.3688634196280243
1,k4_bin8-10_splitood,greedy_dyn_3_fused,4,p15,1.0,2.305,2.6094827681924007,0.9787367328482892,1.0,0.0,0.0,0.0,0.0,1.0,0.4252653430342127,0.369747801698826
1,k5_bin8-10_splitood,PPO_BCD,5,p15,1.0,2.295,2.689109748896737,0.9795472245904494,1.0,0.0,0.0,0.0,0.0,1.0,0.40905550819101266,0.36641624355749414
1,k5_bin8-10_splitood,random_uniform_valid,5,p15,0.57,4.05,3.2464881709003874,0.5128893872561379,0.4298245614035088,0.5701754385964912,0.0,0.04249998873099685,0.16,0.865,0.42121227741524936,0.3508071052813297
1,k5_bin8-10_splitood,always_noop,5,p15,0.0,0.0,8.540443205824255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,k5_bin8-10_splitood,greedy_dyn_1_fused,5,p15,1.0,2.295,2.5134370783092326,0.979077314395065,1.0,0.0,0.0,0.0,0.0,1.0,0.4184537120987031,0.3733920336320156
